"INTERCLASSE";"CODE_UN";"CODICIONE";"NOME_CORSO";"COD_CLASSE";"DES_CLASSE";"ID_COMUNE";"COMUNE";"ID_REGIONE_MACRO_ISTAT";"REGIONE_MACRO_ISTAT";"ID_CLASSE";"DURATA";"ANNO";"CODICE";"DESCRIZIONE";"NUMERATORE";"DENOMINATORE";"INDICATORE";"NUM_ATENEO";"DEN_ATENEO";"IND_ATENEO";"NUM_ITA_NOTELE";"DEN_ITA_NOTELE";"IND_ITA_NOTELE";"NUM_AREA_NOTELE";"DEN_AREA_NOTELE";"IND_AREA_NOTELE";"X";"CORSO";"CORSO_SEDE"
0;63;410107307800001;"MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77";"Scienze economico-aziendali";41067;"URBINO";3;"CENTRO";3078;2;2019;"iC00a";"Avvii di carriera al primo anno (L, LMCU, LM)";84;0;84;43;0;43;113,585987261146;0;113,585987261146;104,863636363636;0;104,863636363636;NA;"LM-77 - MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77 - URBINO"
0;63;410107307800001;"MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77";"Scienze economico-aziendali";41067;"URBINO";3;"CENTRO";3078;2;2019;"iC00c";"Se LM, Iscritti per la prima volta a LM";74;0;74;36;0;36;102,292993630573;0;102,292993630573;93,6818181818182;0;93,6818181818182;NA;"LM-77 - MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77 - URBINO"
0;63;410107307800001;"MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77";"Scienze economico-aziendali";41067;"URBINO";3;"CENTRO";3078;2;2019;"iC00d";"Iscritti (L, LMCU, LM)";197;0;197;120;0;120;257,069182389937;0;257,069182389937;245,155555555556;0;245,155555555556;NA;"LM-77 - MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77 - URBINO"
0;63;410107307800001;"MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77";"Scienze economico-aziendali";41067;"URBINO";3;"CENTRO";3078;2;2019;"iC00e";"Iscritti Regolari ai fini del CSTD (L, LMCU, LM)";165;0;165;80;0;80;215,158227848101;0;215,158227848101;194,733333333333;0;194,733333333333;NA;"LM-77 - MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77 - URBINO"
0;63;410107307800001;"MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77";"Scienze economico-aziendali";41067;"URBINO";3;"CENTRO";3078;2;2019;"iC00f";"Iscritti Regolari ai fini del CSTD, immatricolati puri * al CdS in oggetto (L, LMCU, LM)";155;0;155;71;0;71;196,417721518987;0;196,417721518987;176,088888888889;0;176,088888888889;NA;"LM-77 - MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77 - URBINO"
0;63;410107307800001;"MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77";"Scienze economico-aziendali";41067;"URBINO";3;"CENTRO";3078;2;2019;"iC00g";"laureati (L, LM, LMCU) entro la durata normale del corso";39;0;39;30;0;30;79,6760563380282;0;79,6760563380282;67,8292682926829;0;67,8292682926829;NA;"LM-77 - MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77 - URBINO"
0;63;410107307800001;"MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77";"Scienze economico-aziendali";41067;"URBINO";3;"CENTRO";3078;2;2019;"iC00h";"laureati (L, LM, LMCU)";52;0;52;44;0;44;103,492957746479;0;103,492957746479;94,780487804878;0;94,780487804878;NA;"LM-77 - MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77 - URBINO"
0;63;410107307800001;"MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77";"Scienze economico-aziendali";41067;"URBINO";3;"CENTRO";3078;2;2019;"iC01";"Percentuale di studenti iscritti entro la durata normale del CdS che abbiano acquisito almeno 40 CFU nell'a.s.";96;165;0,581818181818182;51;80;0,6375;153,075949367089;215,158227848101;0,711457567289307;134,466666666667;194,733333333333;0,690516946251284;NA;"LM-77 - MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77 - URBINO"
0;63;410107307800001;"MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77";"Scienze economico-aziendali";41067;"URBINO";3;"CENTRO";3078;2;2019;"iC02";"Percentuale di laureati (L, LM, LMCU) entro la durata normale del corso";39;52;0,75;30;44;0,681818181818182;79,6760563380282;103,492957746479;0,769869352204682;67,8292682926829;94,780487804878;0,715645908389089;NA;"LM-77 - MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77 - URBINO"
0;63;410107307800001;"MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77";"Scienze economico-aziendali";41067;"URBINO";3;"CENTRO";3078;2;2019;"iC02BIS";"Percentuale di laureati (L, LM, LMCU) entro un anno oltre la durata normale del corso";49;52;0,942307692307692;40;44;0,909090909090909;96,8450704225352;103,492957746479;0,935764833968427;87,4634146341463;94,780487804878;0,922799794132784;NA;"LM-77 - MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM-77 - URBINO"
